date,n1,n2,n3,n4,n5,n6
2019-01-02,31,12,47,38,20,13
2019-01-05,57,47,27,49,46,56
2019-01-08,17,35,16,41,53,48
2019-01-11,32,23,27,34,47,40
2019-01-14,14,20,35,46,22,34
2019-01-17,5,47,50,56,14,45
2019-01-20,49,47,30,46,54,42
2019-01-23,10,35,14,56,27,4
2019-01-26,50,23,41,27,30,8
2019-01-29,47,48,9,49,21,25
2019-02-01,22,23,51,13,21,28
2019-02-04,27,21,37,14,59,15
2019-02-07,14,3,48,15,49,2
2019-02-10,56,17,55,33,21,50
2019-02-13,37,52,46,27,40,8
2019-02-16,22,55,42,39,50,15
2019-02-19,16,30,24,9,13,57
2019-02-22,32,39,54,41,10,17
2019-02-25,25,40,22,57,46,55
2019-02-28,30,56,11,44,45,50
2019-03-03,56,9,22,14,38,44
2019-03-06,5,7,54,12,1,10
2019-03-09,29,46,16,23,15,6
2019-03-12,13,52,19,16,45,30
2019-03-15,39,17,31,34,28,43
2019-03-18,27,13,54,5,20,55
2019-03-21,18,9,37,43,47,17
2019-03-24,34,7,32,14,13,51
2019-03-27,25,12,33,55,15,21
2019-03-30,23,49,45,52,3,38
2019-04-02,58,44,35,25,48,47
2019-04-05,41,5,8,15,4,34
2019-04-08,9,54,14,41,40,6
2019-04-11,33,12,16,32,38,52
2019-04-14,47,11,58,6,9,40
2019-04-17,7,52,39,36,58,57
2019-04-20,41,2,39,7,36,12
2019-04-23,35,45,21,1,8,18
2019-04-26,2,12,4,7,41,40
2019-04-29,44,40,47,14,38,56
2019-05-02,42,13,30,12,31,21
2019-05-05,18,47,30,41,29,54
2019-05-08,46,52,53,14,26,38
2019-05-11,56,29,59,27,39,45
2019-05-14,9,57,14,11,20,26
2019-05-17,13,49,12,23,30,44
2019-05-20,1,8,22,44,59,50
2019-05-23,15,49,33,27,43,3
2019-05-26,14,39,30,36,32,56
2019-05-29,52,4,28,22,1,33
2019-06-01,22,36,57,17,43,47
2019-06-04,11,15,39,7,53,51
2019-06-07,55,28,5,9,12,2
2019-06-10,56,22,20,17,32,11
2019-06-13,24,54,30,28,32,40
2019-06-16,21,11,3,50,8,55
2019-06-19,24,28,41,12,33,46
2019-06-22,7,4,43,28,2,52
2019-06-25,59,57,18,15,8,21
2019-06-28,35,56,37,9,14,57
2019-07-01,38,7,28,58,39,46
2019-07-04,45,18,28,36,11,49
2019-07-07,15,1,33,8,13,25
2019-07-10,35,37,27,29,58,51
2019-07-13,12,54,42,16,36,49
2019-07-16,19,58,53,18,38,23
2019-07-19,29,41,8,26,56,49
2019-07-22,19,21,33,34,15,16
2019-07-25,53,50,52,23,15,27
2019-07-28,51,30,37,20,19,44
2019-07-31,44,13,30,42,35,4
2019-08-03,17,25,53,42,14,59
2019-08-06,27,34,9,42,21,19
2019-08-09,45,35,52,9,49,6
2019-08-12,33,15,30,39,18,19
2019-08-15,16,42,34,25,48,19
2019-08-18,12,58,31,52,24,2
2019-08-21,39,42,25,45,5,49
2019-08-24,47,58,9,7,28,40
2019-08-27,21,13,50,5,49,38
2019-08-30,17,3,52,41,50,59
2019-09-02,43,55,34,13,58,52
2019-09-05,28,11,13,46,31,53
2019-09-08,18,5,30,8,7,38
2019-09-11,18,9,48,25,51,38
2019-09-14,54,42,7,15,49,38
2019-09-17,16,11,19,42,9,53
2019-09-20,45,52,25,44,7,9
2019-09-23,22,27,59,41,45,57
2019-09-26,36,53,49,16,2,39
2019-09-29,18,25,9,37,59,11
2019-10-02,33,52,17,14,36,9
2019-10-05,45,28,48,35,13,9
2019-10-08,53,9,44,45,15,17
2019-10-11,2,41,40,44,8,28
2019-10-14,34,27,3,31,10,18
2019-10-17,46,24,30,23,19,31
2019-10-20,57,44,38,29,36,42
2019-10-23,3,44,19,12,25,42
2019-10-26,58,32,41,24,33,59
2019-10-29,24,11,5,33,48,36
2019-11-01,18,13,12,29,30,21
2019-11-04,40,1,10,48,8,28
2019-11-07,4,19,49,43,48,6
2019-11-10,46,57,6,43,31,30
2019-11-13,14,34,33,44,48,15
2019-11-16,43,41,59,21,42,33
2019-11-19,41,20,32,19,38,4
2019-11-22,44,14,59,47,35,31
2019-11-25,46,16,20,42,21,17
2019-11-28,22,3,9,40,35,51
2019-12-01,35,17,23,57,10,4
2019-12-04,23,1,40,21,49,56
2019-12-07,13,12,19,52,30,34
2019-12-10,4,11,7,51,31,41
2019-12-13,17,26,4,27,13,44
2019-12-16,9,59,24,1,29,57
2019-12-19,49,27,16,8,22,40
2019-12-22,29,21,1,48,44,39
2019-12-25,54,52,34,27,46,41
2019-12-28,50,29,13,9,54,8
2019-12-31,33,44,27,32,26,56
2020-01-03,29,47,15,3,55,45
2020-01-06,29,54,43,41,34,53
2020-01-09,5,18,52,49,8,24
2020-01-12,41,56,35,55,24,5
2020-01-15,21,57,51,31,39,38
2020-01-18,31,56,48,50,51,52
2020-01-21,59,18,42,27,47,53
2020-01-24,25,33,41,17,8,2
2020-01-27,16,55,34,46,56,28
2020-01-30,11,49,10,13,1,52
2020-02-02,1,18,4,7,22,11
2020-02-05,15,16,34,18,50,5
2020-02-08,10,54,58,3,17,53
2020-02-11,23,6,34,24,36,11
2020-02-14,7,24,17,51,1,52
2020-02-17,52,37,33,49,35,28
2020-02-20,29,40,49,16,51,3
2020-02-23,44,50,10,49,23,18
2020-02-26,35,1,30,16,24,29
2020-02-29,4,10,14,22,5,38
2020-03-03,50,8,30,6,51,47
2020-03-06,6,15,1,49,59,53
2020-03-09,11,41,30,14,45,13
2020-03-12,15,31,54,27,40,38
2020-03-15,6,50,42,27,49,34
2020-03-18,49,25,34,18,53,55
2020-03-21,57,59,41,46,56,10
2020-03-24,16,24,48,13,10,31
2020-03-27,2,45,47,9,18,27
2020-03-30,44,54,16,59,28,26
2020-04-02,54,44,11,25,56,29
2020-04-05,37,41,8,47,18,35
2020-04-08,17,40,10,21,8,41
2020-04-11,43,24,6,23,32,8
2020-04-14,38,13,9,34,57,52
2020-04-17,30,7,39,57,26,59
2020-04-20,47,50,37,57,27,48
2020-04-23,29,58,32,21,37,56
2020-04-26,54,40,34,16,59,12
2020-04-29,15,40,51,27,2,33
2020-05-02,30,48,33,24,3,20
2020-05-05,48,11,45,37,18,15
2020-05-08,15,37,42,44,58,28
2020-05-11,41,51,58,30,23,34
2020-05-14,59,45,6,30,43,34
2020-05-17,57,20,22,2,40,13
2020-05-20,48,31,14,42,19,29
2020-05-23,28,33,6,10,31,42
2020-05-26,36,27,20,18,33,47
2020-05-29,22,51,6,10,13,57
2020-06-01,35,41,36,3,38,44
2020-06-04,32,44,14,55,52,42
2020-06-07,48,11,58,6,17,26
2020-06-10,10,58,49,35,21,20
2020-06-13,51,55,47,21,43,46
2020-06-16,22,32,12,29,16,49
2020-06-19,25,29,6,33,47,49
2020-06-22,3,59,27,19,11,44
2020-06-25,14,55,3,54,7,38
2020-06-28,9,41,14,6,53,51
2020-07-01,12,55,8,7,22,2
2020-07-04,47,7,36,15,55,54
2020-07-07,56,39,58,33,30,13
2020-07-10,31,13,1,20,47,54
2020-07-13,23,25,50,18,2,5
2020-07-16,55,52,48,34,54,45
2020-07-19,49,29,24,21,27,35
2020-07-22,13,30,10,6,19,48
2020-07-25,54,43,8,56,11,44
2020-07-28,44,52,15,40,24,50
2020-07-31,34,55,16,26,11,23
2020-08-03,49,14,9,25,43,46
2020-08-06,5,12,16,54,52,2
2020-08-09,20,8,45,38,44,39
2020-08-12,16,32,22,43,44,27
2020-08-15,58,14,4,42,57,18
2020-08-18,14,48,21,29,40,51
2020-08-21,56,14,41,54,1,37
2020-08-24,15,6,35,16,32,17
2020-08-27,49,31,34,56,12,41
2020-08-30,34,24,4,36,52,3
2020-09-02,29,42,27,21,28,26
2020-09-05,5,6,12,21,52,53
2020-09-08,43,46,37,17,49,9
2020-09-11,53,43,49,39,46,7
2020-09-14,36,38,43,24,32,15
2020-09-17,2,25,41,12,44,58
2020-09-20,24,9,4,25,12,45
2020-09-23,58,24,39,56,6,15
2020-09-26,16,43,47,18,9,20
2020-09-29,47,1,31,24,28,27
2020-10-02,23,40,4,1,18,3
2020-10-05,32,54,4,56,13,34
2020-10-08,13,40,16,33,31,12
2020-10-11,38,56,33,1,48,5
2020-10-14,7,2,8,32,46,4
2020-10-17,52,39,56,20,50,19
2020-10-20,52,25,39,40,4,49
2020-10-23,59,33,3,35,8,16
2020-10-26,37,47,56,27,5,4
2020-10-29,5,22,6,7,3,28
2020-11-01,17,50,41,6,43,7
2020-11-04,52,54,37,53,42,28
2020-11-07,33,51,57,50,56,39
2020-11-10,54,3,31,57,30,8
2020-11-13,25,59,34,10,13,49
2020-11-16,25,12,32,41,49,37
2020-11-19,10,13,14,4,19,33
2020-11-22,20,26,47,2,29,24
2020-11-25,48,2,37,39,32,54
2020-11-28,53,4,55,1,19,21
2020-12-01,56,9,24,14,29,2
2020-12-04,9,20,45,34,13,40
2020-12-07,26,18,14,48,29,57
2020-12-10,56,15,32,48,41,3
2020-12-13,49,55,1,7,26,39
2020-12-16,46,4,44,1,54,28
2020-12-19,16,12,17,28,39,32
2020-12-22,51,28,17,4,52,45
2020-12-25,29,3,11,39,37,56
2020-12-28,30,53,23,38,7,32
2020-12-31,28,13,50,12,3,48
2021-01-03,26,21,5,58,46,36
2021-01-06,22,28,54,45,19,26
2021-01-09,51,41,39,47,52,7
2021-01-12,49,20,31,5,52,23
2021-01-15,48,28,32,6,19,50
2021-01-18,43,30,23,26,4,6
2021-01-21,3,29,49,40,24,31
2021-01-24,51,14,1,5,6,55
2021-01-27,3,23,46,43,22,34
2021-01-30,52,43,42,16,7,3
2021-02-02,53,1,5,47,57,7
2021-02-05,50,24,2,37,4,13
2021-02-08,38,18,55,58,1,48
2021-02-11,28,31,7,43,35,59
2021-02-14,31,21,47,51,24,16
2021-02-17,30,57,27,44,7,29
2021-02-20,6,51,41,4,31,58
2021-02-23,8,29,2,11,12,44
2021-02-26,43,12,57,58,13,6
2021-03-01,23,3,15,48,25,1
2021-03-04,55,47,7,29,49,2
2021-03-07,26,4,23,24,27,17
2021-03-10,24,45,14,32,42,27
2021-03-13,43,10,1,52,48,59
2021-03-16,48,9,39,20,34,18
2021-03-19,24,30,46,57,34,27
2021-03-22,40,45,58,34,49,46
2021-03-25,17,16,43,11,6,34
2021-03-28,25,2,19,34,26,5
2021-03-31,8,20,30,3,41,26
2021-04-03,38,58,40,25,21,10
2021-04-06,8,20,7,16,29,52
2021-04-09,3,22,47,36,56,46
2021-04-12,40,22,54,29,28,10
2021-04-15,52,24,53,28,40,25
2021-04-18,25,29,50,43,23,54
2021-04-21,8,47,48,28,14,45
2021-04-24,43,57,23,13,59,15
2021-04-27,54,22,24,51,14,10
2021-04-30,48,38,12,59,31,41
2021-05-03,15,23,55,24,10,41
2021-05-06,48,46,1,30,14,57
2021-05-09,23,13,16,28,21,22
2021-05-12,3,29,32,36,45,30
2021-05-15,26,2,10,55,51,16
2021-05-18,46,1,32,24,37,12
2021-05-21,20,4,38,23,45,19
2021-05-24,59,18,11,12,21,24
2021-05-27,41,14,46,52,51,11
2021-05-30,58,31,42,56,38,2
2021-06-02,6,39,7,59,57,24
2021-06-05,41,22,30,54,53,48
2021-06-08,29,8,57,24,20,10
2021-06-11,28,59,39,3,9,33
2021-06-14,40,39,58,6,38,43
2021-06-17,53,22,45,36,21,43
2021-06-20,2,14,9,43,55,7
2021-06-23,6,12,28,8,34,27
2021-06-26,50,43,51,20,45,4
2021-06-29,7,19,6,16,42,44
2021-07-02,22,45,47,50,19,41
2021-07-05,5,41,3,6,38,8
2021-07-08,45,43,3,19,55,6
