date,value
2019-01-01,3.45
2019-01-02,5.13
2019-01-03,5.05
2019-01-04,5.69
2019-01-05,4.56
2019-01-06,3.11
2019-01-07,2.45
2019-01-08,6.32
2019-01-09,0.36
2019-01-10,3.47
2019-01-11,2.62
2019-01-12,4.62
2019-01-13,3.55
2019-01-14,3.68
2019-01-15,5.92
2019-01-16,3.49
2019-01-17,2.42
2019-01-18,6.26
2019-01-19,6.02
2019-01-20,6.66
2019-01-21,5.45
2019-01-22,3.16
2019-01-23,6.57
2019-01-24,3.75
2019-01-25,4.78
2019-01-26,2.46
2019-01-27,3.29
2019-01-28,5.27
2019-01-29,5.66
2019-01-30,4.49
2019-01-31,6.65
2019-02-01,4.27
2019-02-02,0.65
2019-02-03,5.31
2019-02-04,0.49
2019-02-05,1.33
2019-02-06,3.57
2019-02-07,5.32
2019-02-08,5.27
2019-02-09,3.81
2019-02-10,4.93
2019-02-11,1.95
2019-02-12,8.57
2019-02-13,3.79
2019-02-14,3.98
2019-02-15,3.8
2019-02-16,6.22
2019-02-17,4.48
2019-02-18,4.48
2019-02-19,3.48
2019-02-20,3.45
2019-02-21,4.45
2019-02-22,4.02
2019-02-23,4.25
2019-02-24,2.99
2019-02-25,5.95
2019-02-26,4.96
2019-02-27,6.99
2019-02-28,5.12
2019-03-01,4.35
2019-03-02,3.82
2019-03-03,5.71
2019-03-04,4.0
2019-03-05,2.15
2019-03-06,2.43
2019-03-07,0.0
2019-03-08,6.2
2019-03-09,6.36
2019-03-10,1.28
2019-03-11,1.92
2019-03-12,2.21
2019-03-13,2.46
2019-03-14,4.41
2019-03-15,4.13
2019-03-16,4.04
2019-03-17,4.5
2019-03-18,4.22
2019-03-19,4.41
2019-03-20,0.54
2019-03-21,2.22
2019-03-22,4.38
2019-03-23,0.0
2019-03-24,5.76
2019-03-25,5.5
2019-03-26,3.49
2019-03-27,3.83
2019-03-28,2.59
2019-03-29,5.44
2019-03-30,4.29
2019-03-31,3.42
2019-04-01,0.32
2019-04-02,4.97
2019-04-03,1.45
2019-04-04,4.02
2019-04-05,2.34
2019-04-06,3.43
2019-04-07,5.78
2019-04-08,0.0
2019-04-09,2.43
2019-04-10,0.93
2019-04-11,1.22
2019-04-12,3.18
2019-04-13,1.13
2019-04-14,0.42
2019-04-15,1.18
2019-04-16,5.91
2019-04-17,2.25
2019-04-18,1.2
2019-04-19,3.39
2019-04-20,0.0
2019-04-21,2.34
2019-04-22,3.81
2019-04-23,2.28
2019-04-24,1.5
2019-04-25,0.0
2019-04-26,3.93
2019-04-27,2.05
2019-04-28,4.23
2019-04-29,5.13
2019-04-30,0.01
2019-05-01,2.53
2019-05-02,0.0
2019-05-03,3.19
2019-05-04,1.31
2019-05-05,3.23
2019-05-06,0.58
2019-05-07,0.45
2019-05-08,0.0
2019-05-09,1.19
2019-05-10,4.36
2019-05-11,0.0
2019-05-12,0.0
2019-05-13,0.65
2019-05-14,0.0
2019-05-15,0.0
2019-05-16,4.1
2019-05-17,0.0
2019-05-18,3.67
2019-05-19,0.0
2019-05-20,0.0
2019-05-21,2.3
2019-05-22,3.84
2019-05-23,2.54
2019-05-24,3.56
2019-05-25,0.0
2019-05-26,0.0
2019-05-27,2.08
2019-05-28,0.21
2019-05-29,2.22
2019-05-30,0.0
2019-05-31,0.4
2019-06-01,1.6
2019-06-02,0.97
2019-06-03,1.02
2019-06-04,0.02
2019-06-05,3.49
2019-06-06,0.95
2019-06-07,0.0
2019-06-08,1.35
2019-06-09,0.0
2019-06-10,1.71
2019-06-11,3.74
2019-06-12,0.7
2019-06-13,0.0
2019-06-14,0.0
2019-06-15,0.3
2019-06-16,0.0
2019-06-17,0.0
2019-06-18,0.88
2019-06-19,0.0
2019-06-20,1.55
2019-06-21,0.8
2019-06-22,0.0
2019-06-23,2.88
2019-06-24,2.46
2019-06-25,0.18
2019-06-26,0.0
2019-06-27,2.3
2019-06-28,2.87
2019-06-29,0.0
2019-06-30,0.0
2019-07-01,3.48
2019-07-02,3.76
2019-07-03,0.39
2019-07-04,0.0
2019-07-05,1.2
2019-07-06,0.0
2019-07-07,0.76
2019-07-08,1.86
2019-07-09,1.95
2019-07-10,2.16
2019-07-11,0.0
2019-07-12,0.0
2019-07-13,2.7
2019-07-14,1.09
2019-07-15,1.73
2019-07-16,0.15
2019-07-17,2.82
2019-07-18,1.86
2019-07-19,0.0
2019-07-20,2.46
2019-07-21,0.0
2019-07-22,0.0
2019-07-23,1.01
2019-07-24,2.09
2019-07-25,0.0
2019-07-26,0.87
2019-07-27,1.15
2019-07-28,0.67
2019-07-29,2.54
2019-07-30,2.16
2019-07-31,0.72
2019-08-01,0.0
2019-08-02,0.64
2019-08-03,0.35
2019-08-04,0.0
2019-08-05,0.0
2019-08-06,0.1
2019-08-07,0.0
2019-08-08,0.0
2019-08-09,1.87
2019-08-10,2.74
2019-08-11,1.15
2019-08-12,0.85
2019-08-13,0.0
2019-08-14,1.82
2019-08-15,0.79
2019-08-16,0.0
2019-08-17,0.0
2019-08-18,1.84
